total_cases,deaths,recovered,critical,tested,death_ratio,recovery_ratio,date
17902,81,7247,0,8434266,0.0045246341190928385,0.4048151044576025,2021-07-02
17576,81,7247,0,8434266,0.004608557123350023,0.4123236231224397,2021-07-01
16507,80,6764,0,8434266,0.0048464287877869995,0.4097655540073908,2021-06-30
16041,76,6519,0,8434266,0.004737859235708497,0.40639610996820646,2021-06-28
15401,75,6137,0,8434266,0.004869813648464385,0.3984806181416791,2021-06-27
15152,74,5949,0,8434266,0.004883843717001056,0.3926214361140444,2021-06-26
14435,74,5949,0,8434266,0.005126428818843089,0.41212331139591274,2021-06-25
14116,72,5684,0,8434266,0.005100595069424767,0.4026636440918107,2021-06-24
13630,69,5453,0,6282417,0.005062362435803375,0.4000733675715334,2021-06-22
13483,69,5453,0,6282417,0.0051175554401839355,0.4044352147148261,2021-06-21
13117,64,5054,0,6282417,0.004879164443089121,0.385301517115194,2021-06-20
12620,64,4788,0,6282417,0.005071315372424723,0.37939778129952456,2021-06-19
12014,61,4653,0,6282417,0.0050774096886965206,0.3872981521558182,2021-06-17
11635,61,4590,0,6282417,0.005242801890846583,0.3944993553932101,2021-06-16
11212,61,4539,0,6282417,0.005440599357830895,0.4048341063146629,2021-06-15
10810,59,4235,0,6282417,0.00545790934320074,0.39176688251618874,2021-06-14
10538,59,3998,0,6282417,0.005598785348263428,0.379388878345037,2021-06-13
9980,57,3804,0,6282417,0.005711422845691383,0.3811623246492986,2021-06-11
9784,55,3708,0,6282417,0.005621422730989371,0.37898609975470154,2021-06-10
9565,55,3636,0,6282417,0.00575013068478829,0.3801359121798223,2021-06-09
9158,55,3547,0,4941514,0.006005678095654073,0.38731164009609087,2021-06-08
8747,53,3368,0,4941514,0.006059220304104264,0.3850463015891163,2021-06-06
8541,53,3310,0,4941514,0.006205362369745932,0.3875424423369629,2021-06-05
8287,51,3242,0,4941514,0.006154217449016532,0.39121515626885484,2021-06-04
8063,49,3085,0,4941514,0.006077142502790524,0.3826119310430361,2021-06-03
