total_cases,deaths,recovered,critical,tested,death_ratio,recovery_ratio,date
17902,81,7247,0,8434266,0.0045246341190928385,0.4048151044576025,2021-07-02
17576,81,7247,0,8434266,0.004608557123350023,0.4123236231224397,2021-07-01
16507,80,6764,0,8434266,0.0048464287877869995,0.4097655540073908,2021-06-30
16136,78,6519,0,8434266,0.004833911750123946,0.4040034705007437,2021-06-29
16041,76,6519,0,8434266,0.004737859235708497,0.40639610996820646,2021-06-28
15401,75,6137,0,8434266,0.004869813648464385,0.3984806181416791,2021-06-27
15152,74,5949,0,8434266,0.004883843717001056,0.3926214361140444,2021-06-26
14435,74,5949,0,8434266,0.005126428818843089,0.41212331139591274,2021-06-25
17902,81,7247,0,8434266,0.0045246341190928385,0.4048151044576025,2021-07-02
17576,81,7247,0,8434266,0.004608557123350023,0.4123236231224397,2021-07-01
16507,80,6764,0,8434266,0.0048464287877869995,0.4097655540073908,2021-06-30
16041,76,6519,0,8434266,0.004737859235708497,0.40639610996820646,2021-06-28
15401,75,6137,0,8434266,0.004869813648464385,0.3984806181416791,2021-06-27
15152,74,5949,0,8434266,0.004883843717001056,0.3926214361140444,2021-06-26
14435,74,5949,0,8434266,0.005126428818843089,0.41212331139591274,2021-06-25
14116,72,5684,0,8434266,0.005100595069424767,0.4026636440918107,2021-06-24
13630,69,5453,0,6282417,0.005062362435803375,0.4000733675715334,2021-06-22
13483,69,5453,0,6282417,0.0051175554401839355,0.4044352147148261,2021-06-21
13117,64,5054,0,6282417,0.004879164443089121,0.385301517115194,2021-06-20
12620,64,4788,0,6282417,0.005071315372424723,0.37939778129952456,2021-06-19
12014,61,4653,0,6282417,0.0050774096886965206,0.3872981521558182,2021-06-17
11635,61,4590,0,6282417,0.005242801890846583,0.3944993553932101,2021-06-16
11212,61,4539,0,6282417,0.005440599357830895,0.4048341063146629,2021-06-15
10810,59,4235,0,6282417,0.00545790934320074,0.39176688251618874,2021-06-14
10538,59,3998,0,6282417,0.005598785348263428,0.379388878345037,2021-06-13
9980,57,3804,0,6282417,0.005711422845691383,0.3811623246492986,2021-06-11
9784,55,3708,0,6282417,0.005621422730989371,0.37898609975470154,2021-06-10
9565,55,3636,0,6282417,0.00575013068478829,0.3801359121798223,2021-06-09
9158,55,3547,0,4941514,0.006005678095654073,0.38731164009609087,2021-06-08
8747,53,3368,0,4941514,0.006059220304104264,0.3850463015891163,2021-06-06
8541,53,3310,0,4941514,0.006205362369745932,0.3875424423369629,2021-06-05
8287,51,3242,0,4941514,0.006154217449016532,0.39121515626885484,2021-06-04
8063,49,3085,0,4941514,0.006077142502790524,0.3826119310430361,2021-06-03
17902,81,7247,0,8434266,0.0045246341190928385,0.4048151044576025,2021-07-02
12014,61,4653,0,6282417,0.0050774096886965206,0.3872981521558182,2021-06-17
8063,49,3085,0,4941514,0.006077142502790524,0.3826119310430361,2021-06-03
4579,37,2687,0,3091540,0.008080366892334571,0.5868093470189998,2021-05-19
3022,35,2560,0,2598753,0.01158173395102581,0.8471211118464593,2021-05-05
2800,35,2490,0,2598753,0.0125,0.8892857142857142,2021-04-20
2637,35,2416,0,2598753,0.013272658323852863,0.9161926431551005,2021-04-05
2575,35,2233,0,2598753,0.013592233009708738,0.8671844660194175,2021-03-22
2512,35,1920,0,2214802,0.01393312101910828,0.7643312101910829,2021-03-07
2368,35,1627,0,1529651,0.014780405405405405,0.6870777027027027,2021-02-20
1981,35,1468,0,1436836,0.0176678445229682,0.7410398788490661,2021-02-06
1548,35,1411,0,1431631,0.02260981912144703,0.911498708010336,2021-01-22
1512,35,1357,0,1431631,0.023148148148148147,0.8974867724867724,2021-01-08
1432,35,1281,0,1431631,0.024441340782122904,0.8945530726256983,2020-12-24
1381,35,1225,0,1339465,0.025343953656770456,0.8870383779869659,2020-12-09
1321,35,1153,0,1339465,0.026495079485238455,0.8728236184708554,2020-11-25
1226,35,1087,0,1246480,0.028548123980424143,0.8866231647634584,2020-11-10
1169,35,1061,0,1246480,0.029940119760479042,0.9076133447390933,2020-10-26
1110,35,1025,0,1246480,0.03153153153153153,0.9234234234234234,2020-10-12
1074,35,999,0,1009145,0.032588454376163874,0.9301675977653632,2020-09-27
1063,35,918,0,1009145,0.03292568203198495,0.863593603010348,2020-09-13
1040,32,677,0,1009145,0.03076923076923077,0.6509615384615385,2020-08-29
929,21,437,0,621823,0.022604951560818085,0.4703982777179763,2020-08-14
546,2,373,0,430000,0.003663003663003663,0.6831501831501832,2020-07-31
381,0,356,1,275000,0.0,0.9343832020997376,2020-07-16
